id,num_sold
230130,154.0
230131,1003.0
230132,754.0
230133,446.0
230134,509.0
230135,312.0
230136,2029.0
230137,1525.0
230138,902.0
230139,1029.0
230140,368.0
230141,2397.0
230142,1801.0
230143,1066.0
230144,1216.0
230145,158.0
230146,1029.0
230147,773.0
230148,457.0
230149,522.0
230150,320.0
230151,2081.0
230152,1564.0
230153,925.0
230154,1055.0
230155,378.0
230156,2459.0
230157,1848.0
230158,1093.0
230159,1247.0
230160,110.0
230161,718.0
230162,540.0
230163,319.0
230164,364.0
230165,223.0
230166,1453.0
230167,1092.0
230168,646.0
230169,737.0
230170,264.0
230171,1717.0
230172,1290.0
230173,763.0
230174,871.0
230175,5.0
230176,34.0
230177,26.0
230178,15.0
230179,17.0
230180,11.0
230181,69.0
230182,52.0
230183,31.0
230184,35.0
230185,13.0
230186,82.0
230187,62.0
230188,36.0
230189,42.0
230190,258.0
230191,1678.0
230192,1261.0
230193,746.0
230194,851.0
230195,521.0
230196,3394.0
230197,2551.0
230198,1509.0
230199,1721.0
230200,616.0
230201,4010.0
230202,3014.0
230203,1783.0
230204,2034.0
230205,209.0
230206,1359.0
230207,1022.0
230208,604.0
230209,689.0
230210,422.0
230211,2750.0
230212,2067.0
230213,1223.0
230214,1395.0
230215,499.0
230216,3250.0
230217,2442.0
230218,1445.0
230219,1648.0
230220,113.0
230221,718.0
230222,555.0
230223,312.0
230224,369.0
230225,229.0
230226,1452.0
230227,1122.0
230228,631.0
230229,746.0
230230,270.0
230231,1716.0
230232,1326.0
230233,746.0
230234,882.0
230235,116.0
230236,736.0
230237,569.0
230238,320.0
230239,378.0
230240,235.0
230241,1490.0
230242,1152.0
230243,648.0
230244,765.0
230245,277.0
230246,1760.0
230247,1361.0
230248,765.0
230249,904.0
230250,81.0
230251,514.0
230252,397.0
230253,224.0
230254,264.0
230255,164.0
230256,1040.0
230257,804.0
230258,452.0
230259,534.0
230260,194.0
230261,1229.0
230262,950.0
230263,534.0
230264,631.0
230265,4.0
230266,25.0
230267,19.0
230268,11.0
230269,13.0
230270,8.0
230271,50.0
230272,38.0
230273,22.0
230274,25.0
230275,9.0
230276,59.0
230277,45.0
230278,25.0
230279,30.0
230280,189.0
230281,1201.0
230282,928.0
230283,522.0
230284,617.0
230285,383.0
230286,2429.0
230287,1878.0
230288,1056.0
230289,1248.0
230290,452.0
230291,2870.0
230292,2219.0
230293,1248.0
230294,1475.0
230295,153.0
230296,973.0
230297,752.0
230298,423.0
230299,500.0
230300,310.0
230301,1968.0
230302,1522.0
230303,856.0
230304,1011.0
230305,366.0
230306,2326.0
230307,1798.0
230308,1011.0
230309,1195.0
230310,114.0
230311,734.0
230312,552.0
230313,315.0
230314,390.0
230315,230.0
230316,1485.0
230317,1116.0
230318,637.0
230319,789.0
230320,271.0
230321,1755.0
230322,1318.0
230323,753.0
230324,933.0
230325,116.0
230326,753.0
230327,566.0
230328,323.0
230329,400.0
230330,236.0
230331,1523.0
230332,1145.0
230333,654.0
230334,810.0
230335,278.0
230336,1800.0
230337,1353.0
230338,772.0
230339,957.0
230340,81.0
230341,526.0
230342,395.0
230343,226.0
230344,279.0
230345,165.0
230346,1064.0
230347,799.0
230348,456.0
230349,565.0
230350,194.0
230351,1257.0
230352,944.0
230353,539.0
230354,668.0
230355,4.0
230356,25.0
230357,19.0
230358,11.0
230359,13.0
230360,8.0
230361,51.0
230362,38.0
230363,22.0
230364,27.0
230365,9.0
230366,60.0
230367,45.0
230368,26.0
230369,32.0
230370,190.0
230371,1228.0
230372,923.0
230373,527.0
230374,653.0
230375,384.0
230376,2484.0
230377,1867.0
230378,1066.0
230379,1320.0
230380,454.0
230381,2935.0
230382,2206.0
230383,1260.0
230384,1560.0
230385,154.0
230386,995.0
230387,748.0
230388,427.0
230389,529.0
230390,311.0
230391,2013.0
230392,1513.0
230393,864.0
230394,1070.0
230395,368.0
230396,2379.0
230397,1787.0
230398,1021.0
230399,1264.0
230400,112.0
230401,718.0
230402,545.0
230403,316.0
230404,377.0
230405,227.0
230406,1453.0
230407,1103.0
230408,640.0
230409,763.0
230410,268.0
230411,1716.0
230412,1304.0
230413,756.0
230414,902.0
230415,115.0
230416,737.0
230417,559.0
230418,324.0
230419,387.0
230420,233.0
230421,1490.0
230422,1132.0
230423,656.0
230424,783.0
230425,275.0
230426,1761.0
230427,1337.0
230428,775.0
230429,925.0
230430,80.0
230431,514.0
230432,391.0
230433,226.0
230434,270.0
230435,163.0
230436,1040.0
230437,790.0
230438,458.0
230439,547.0
230440,192.0
230441,1229.0
230442,934.0
230443,541.0
230444,646.0
230445,4.0
230446,25.0
230447,19.0
230448,11.0
230449,13.0
230450,8.0
230451,50.0
230452,38.0
230453,22.0
230454,26.0
230455,9.0
230456,59.0
230457,45.0
230458,26.0
230459,31.0
230460,188.0
230461,1201.0
230462,912.0
230463,529.0
230464,631.0
230465,380.0
230466,2430.0
230467,1846.0
230468,1070.0
230469,1276.0
230470,449.0
230471,2871.0
230472,2181.0
230473,1264.0
230474,1508.0
230475,152.0
230476,973.0
230477,739.0
230478,429.0
230479,511.0
230480,308.0
230481,1969.0
230482,1496.0
230483,867.0
230484,1034.0
230485,364.0
230486,2326.0
230487,1767.0
230488,1024.0
230489,1222.0
230490,114.0
230491,740.0
